Word,POS,NER
শনিবার,NNP,B-D&T
২৭,PUNCT,B-OTH
আগস্ট,NNP,B-D&T
রাতে,NNC,B-D&T
পটুয়াখালী,NNP,B-GPE
সদর,NNC,I-GPE
থানার,NNC,I-GPE
ভারপ্রাপ্ত,ADJ,B-PER
কর্মকর্তা,NNC,I-PER
ওসি,PUNCT,B-OTH
মো,NNP,B-PER
মনিরুজ্জামান,NNP,I-PER
এ,DET,B-OTH
তথ্য,NNC,B-OTH
নিশ্চিত,ADJ,B-OTH
করেছেন।,VF,B-OTH
বায়ুদূষণ,NNC,B-OTH
ও,CONJ,B-OTH
স্মার্ট,NNC,B-OTH
ফোন,NNC,B-OTH
ছেলেমেয়ে,NNC,B-PER
উভয়ের,PRO,B-OTH
প্রজনন,NNC,B-OTH
ক্ষমতা,NNC,B-OTH
হ্রাস,NNC,B-OTH
করে,VNF,B-OTH
দিচ্ছে।,VF,B-OTH
ছাত্র,NNC,B-OTH
রাজনীতির,NNC,B-OTH
বর্তমান,ADJ,B-OTH
অবস্থার,NNC,B-OTH
শুরু,NNC,B-OTH
হয়েছিলো,VF,B-OTH
স্বৈরশাসক,NNC,B-PER
এরশাদের,NNP,B-PER
হাত,NNC,B-OTH
ধরে।,PP,B-OTH
শাকিল,NNP,B-PER
রাজধানীর,NNC,B-OTH
৩০০,QF,B-LOC
ফিট,NNC,I-LOC
দিয়াবাড়ি,NNP,B-LOC
ও,CONJ,B-OTH
পূর্বাচল,NNP,B-LOC
এলাকায়,NNC,B-OTH
ছিনতাইয়ের,NNC,B-OTH
জন্য,PP,B-OTH
মেয়েদের,NNC,B-PER
নিয়ে,VNF,B-OTH
যেতেন,VF,B-OTH
বলে,PP,B-OTH
জানিয়েছে,VF,B-OTH
ডিবি।,NNP,B-ORG
সম্প্রতি,ADV,B-OTH
ক্লাবের,NNC,B-ORG
নবীন,ADJ,B-OTH
ব্যবস্থাপনা,NNC,B-OTH
প্রশিক্ষণার্থী,NNC,B-PER
ও,CONJ,B-OTH
প্রশিক্ষণার্থী,NNC,B-PER
সহযোগীদের,NNC,B-PER
নিয়ে,PP,B-OTH
অনুষ্ঠিত,ADJ,B-OTH
হলো,VF,B-OTH
ওরিয়েন্টশন,NNC,B-EVENT
প্রোগ্রাম।,NNC,I-EVENT
দেশের,NNC,B-OTH
১১,QF,B-NUM
অঞ্চলে,NNC,B-OTH
দমকা,ADJ,B-OTH
হাওয়াসহ,NNC,B-OTH
বজ্রবৃষ্টির,NNC,B-OTH
আভাস,NNC,B-OTH
দিয়েছে,VF,B-OTH
বাংলাদেশ,NNP,B-ORG
আবহাওয়া,NNP,I-ORG
অধিদপ্তর।,NNP,I-ORG
এই,DET,B-OTH
একাডেমীর,NNC,B-ORG
প্রধান,ADJ,B-PER
নির্বাহী,NNC,I-PER
হলেন,VF,B-OTH
মহাপরিচালক।,NNC,B-PER
তিনি,PRO,B-OTH
বলেন,VF,B-OTH
“বাংলায়,PUNCT,B-OTH
আয়কর,NNC,B-OTH
আইন,NNC,B-OTH
করতে,VNF,B-OTH
আমরা,PRO,B-OTH
স্টেকহোল্ডারের,NNC,B-PER
সঙ্গে,PP,B-OTH
আলোচনা,NNC,B-OTH
করেছি।,VF,B-OTH
শিক্ষা,NNC,B-OTH
ও,CONJ,B-OTH
গবেষণার,NNC,B-OTH
মান,NNC,B-OTH
সমুন্নত,ADJ,B-OTH
রাখতে,VNF,B-OTH
রাজশাহী,NNP,B-ORG
বিশ্ববিদ্যালয়ের,NNP,I-ORG
রাবি,PUNCT,B-OTH
১৬৮টি,QF,B-NUM
আসন,NNC,B-OTH
কমানো,NNC,B-OTH
হয়েছে।,VF,B-OTH
২,QF,B-D&T
নভেম্বর,NNP,I-D&T
গ্রেগরীয়,ADJ,B-OTH
বর্ষপঞ্জী,NNC,B-OTH
অনুসারে,PP,B-OTH
বছরের,NNC,B-OTH
৩০৬তম,QF,B-NUM
অধিবর্ষে,PUNCT,B-OTH
৩০৭তম,QF,B-NUM
দিন।,NNC,B-UNIT
এ,DET,B-OTH
প্রসঙ্গে,NNC,B-OTH
জানতে,VNF,B-OTH
চাইলে,VNF,B-OTH
ডা,NNP,B-PER
মুজিবুর,NNP,I-PER
রহমান,NNP,I-PER
জানান,VF,B-OTH
বাবুর্চি,NNC,B-PER
নেজাম,NNP,B-ORG
হাসপাতালের,NNC,B-ORG
রোগীদের,NNC,B-PER
খাবার,NNC,B-OTH
বিক্রি,NNC,B-OTH
করছেনা।,VF,B-OTH
ওবায়দুল,NNP,B-PER
কাদের,NNP,I-PER
বলেন,VF,B-OTH
বিএনপির,NNP,B-ORG
উদ্ভট,ADJ,B-OTH
কথায়,NNC,B-OTH
আওয়ামী,NNP,B-ORG
লীগ,NNP,I-ORG
কান,NNC,B-OTH
দেবে,VF,B-OTH
না।,ADV,B-OTH
চলুন,VF,B-OTH
জানা,NNC,B-OTH
যাক,VF,B-OTH
বিশ্ব,NNC,B-OTH
মহামারির,NNC,B-OTH
কালে,NNC,B-OTH
জন্ম,NNC,B-OTH
মৃত্যু,NNC,B-OTH
